재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립연월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
백령면 재활용 선별장,직영,인천광역시 옹진군 백령면 백령남로72번길 356,인천광역시 옹진군 백령면 진촌리 2376,37.95713929,124.6965634,645.5,2020-10,6,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군 백령면,032-899-3420,문경복,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2025-07-16,3580000,인천광역시 옹진군
자월면 자월 재활용 선별장,직영,인천광역시 옹진군 자월면 자월서로 78,인천광역시 옹진군 자월면 자월리 416-5,37.2500672,126.3151764,471,2020-04,3,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군 자월면,032-899-3750,문경복,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2025-07-16,3580000,인천광역시 옹진군
연평면 대연평 재활용 선별장,직영,인천광역시 옹진군 연평면 연평로 746-46,인천광역시 옹진군 연평면 연평리 505-1,37.65306184,125.6908597,309,2020-04,3,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군 연평면,032-899-3490,문경복,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2025-07-16,3580000,인천광역시 옹진군
북도면 신도리 재활용 선별장,직영,인천광역시 옹진군 북도면 시도로86번길 78,인천광역시 옹진군 북도면 시도리 277-31,37.53555774,126.4311789,321,2020-04,4,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군 북도면,032-899-3410,문경복,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2025-07-16,3580000,인천광역시 옹진군
덕적면 덕적 재활용 선별장,직영,인천광역시 옹진군 덕적면 덕적남로 771번길 103,인천광역시 옹진군 덕적면 서포리 615,37.23042245,126.1065875,856.92,2020-04,6,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군 덕적면,032-899-3740,문경복,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2025-07-16,3580000,인천광역시 옹진군
횡성군재활용선별장,위탁,강원특별자치도 횡성군 횡성읍 학오로 89(학곡리),강원특별자치도 횡성군 횡성읍 학곡리 258,37.51123196,127.9701806,450,2007-06,0,플락스틱+고철+캔+파지,횡성군지역자활센터,033-345-7132,박성길,09:00,18:00,00:00,00:00,토+일+공휴일,,,033-340-5912,강원도 횡성군청 환경자원사업소,2023-06-30,4261000,강원특별자치도 횡성군
완도군 자원관리센터,위탁,전라남도 완도군 완도읍 망석리 1-4 폐기물처리장,전라남도 완도군 완도읍 청해진서로 189-735,34.290004,126.769156,82332,2011-04,2,플라스틱+유리병,완도군청,,,09:00,18:00,00:00,00:00,,,,061-550-0025,아라연환경㈜,2020-08-10,5900000,전남광주통합특별시 완도군
군산시재활용선별시설,위탁,전북특별자치도 군산시 새만금북로 630-28,전북특별자치도 군산시 내초동 201-7,35.94722384,126.6058336,2235.51,2021-12,2,페트병 외 9개품목,전북특별자치도 군산시,063-454-3453,강임준,08:00,17:00,00:00,00:00,주휴일+근로자의날,,,063-454-3453,전북특별자치도 군산시청,2025-11-20,4671000,전북특별자치도 군산시
재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),광주광역시 서구 세하동 765,35.12150861,126.8264274,4180,2024-12,17,대형폐기물 및 재활용품 수집·운반·처리+선별장 내 시설·장비 유지관리,광주광역시 서구 시설관리공단,062-601-6024,정창욱(직무대행),08:30,17:30,00:00,00:00,일+공휴일+설 연휴+추석 연휴,,https://seogufmc.or.kr,062-360-7287,광주광역시 서구청,2025-11-19,5810000,전남광주통합특별시 서구
김해시 재활용품선별장,위탁,경상남도 김해시 진영읍 김해대로835번길 13-72,경상남도 김해시 진영읍 설창리 820,35.299424,128.7784072,15989,2001-12,2,스티로폼+고철+플라스틱+비닐류+폐가전제품 등 재활용품,부산광역시자원재활용센타 김해선별장,055-330-3409,김종원,08:00,17:00,08:00,17:00,토+일+1월1일+설당일+설다음날+추석당일+추석다음날+근로자의날,,,055-330-3394,경상남도 김해시청,2025-11-17,5350000,경상남도 김해시
기장군재활용선별장,위탁,부산광역시 기장군 기장읍 소정안길 84,부산광역시 기장군 기장읍 내리 167-3,35.20665312,129.2023933,949,2001-12,4,가구류+가전제품+주방용품+기타 등,기장군도시관리공단,051-792-4725,김윤재,08:00,17:00,00:00,00:00,공휴일,,www.yeogiro24.co.kr,051-709-4454,부산광역시 기장군청,2025-11-21,3400000,부산광역시 기장군
경남거제지역자활센터,위탁,경상남도 거제시 사등면 두동로1길 109,경상남도 거제시 사등면 사곡리 375-1,34.88376961,128.5736717,402,2000-12,1,가구+전제품+헌옷 등,경남거제지역자활센터,055-688-5890,박로미,09:00,18:00,00:00,00:00,일+공휴일,,http://www.kojejh.or.kr/index.php,055-639-4834,경상남도 거제시청,2025-11-25,5370000,경상남도 거제시
금산군 생활자원회수센터,위탁,충청남도 금산군 추부면 용천로798-51,충청남도 금산군 추부면 용지리 430-12,36.17057979,127.4445517,1124,2020-12,0,PET+공병+파지+고철,충청남도 금산군청,041-750-2523,박범인,09:00,18:00,00:00,00:00,법정공휴일,,,041-750-2554,충청남도 금산군청,2025-11-24,4550000,충청남도 금산군
양구군 전처리시설,직영,강원특별자치도 양구군 국토정중앙면 국토정중앙로 300,강원특별자치도 양구군 국토정중앙면 창리 산 84,38.07026616,128.0418259,196,2008-10,10,세탁기+냉장고+가구+의류 등,강원특별자치도 양구군청,033-480-7301,서흥원,09:00,18:00,09:00,18:00,일요일,,,033-480-7301,강원특별자치도 양구군청,2024-11-29,4321000,강원특별자치도 양구군
광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),광주광역시 동구 소태동 189-1,35.1150617,126.936132,410,2021-02,3,스티로폼+플라스틱+캔+재활용가능자원,광주광역시 동구청,062-608-8936,임택,09:00,18:00,00:00,00:00,공휴일,,,062-608-8936,광주광역시 동구청,2024-09-01,5805000,전남광주통합특별시 동구
포천시 환경자원센터,직영,경기도 포천시 신북면 신평로16번길 207,경기도 포천시 신북면 만세교리 101,37.9644695550,127.2408355937,18000,2024-01,2,생활폐기물(재활용품),경기도 포천시청,031-538-2487,포천시장 백영현,09:00,18:00,00:00,00:00,공휴일,,,031-538-2487,경기도 포천시청,2024-11-14,5600000,경기도 포천시
농촌폐기물종합처리시설,직영,전라남도 담양군 담양읍 태봉로 228-73,전라남도 담양군 담양읍 삼만리 410,35.33667796,126.9980464,46.704,1995-10,1,세탁기+냉장고+가구+신발 등,담양군,,,09:00,18:00,00:00,00:00,공휴일,,http://www.damyang.go.kr/index.damyang,061-380-3079,담양군청,2022-09-30,5830000,전남광주통합특별시 담양군
연평면 소연평 재활용 선별장,직영,인천광역시 옹진군 연평면 소연평로 161-94,인천광역시 옹진군 연평면 연평리 931-4,37.61273536,125.7203857,150,2020-11,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군 연평면,032-899-3490,문경복,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,인천광역시 옹진군,2025-07-16,3580000,인천광역시 옹진군
익산시 생활자원 회수센터,위탁,전북특별자치도 익산시 선화로 798,전북특별자치도 익산시 부송동 157-93,35.96738245,127.0000091,2972,2010-01,19,세탁기+냉장고+가구,(유)행복나누미,063-840-4430,김형섭,05:30,16:30,05:30,11:00,연중무휴,,www.Iksan.go.kr,063-859-5471,전북특별자치도 익산시청,2025-07-23,4681000,전북특별자치도 익산시
금천구 지정 독산동 재활용센터,위탁,서울특별시 금천구 독산로 303,서울특별시 금천구 독산동 990-2,37.4737391,126.9030804,413,2000-08,1,가전제품류+가구류+의류+도서 등,금천구 재활용 센터,02-863-7282,유명종,09:00,19:00,09:00,17:00,,,www.jungo7282.co.kr,02-2627-1484,서울특별시 금천구청,2025-07-24,3170000,서울특별시 금천구
금천구재활용센터,위탁,서울특별시 금천구 시흥대로 182,서울특별시 금천구 시흥동 903-5,37.45017338,126.9027728,661,1995-07,1,가전제품류+가구류+의류+도서 등,㈜시흥가구백화점,02-802-7282,권지섭,09:00,21:00,09:00,21:00,,,,02-2627-1484,서울특별시 금천구청,2025-07-24,3170000,서울특별시 금천구
강북구재활용센터,위탁,서울특별시 강북구 덕릉로58,서울특별시 강북구 수유동 48-46,37.63425871,127.0200916,162.8,2024-04,2,중고가구가전,강북구재활용센터,02-980-3613,김재중,09:00,19:00,00:00,00:00,일요일,6개월,,02-901-6766,서울특별시 강북구청,2025-07-25,3080000,서울특별시 강북구
고성군생활자원회수센터,직영,강원특별자치도 고성군 죽왕면 짱고개길 253,강원특별자치도 고성군 죽왕면 향목리 223,38.36330744,128.4818996,1696,2014-06,112,PET+PS+철캔+알류미늄캔 등,강원특별자치도 고성군청,033-680-3983,함명준,09:00,18:00,00:00,00:00,법정공휴일,,,033-680-3983,강원특별자치도 고성군청,2025-03-10,4341000,강원특별자치도 고성군
인제군 공공재활용선별시설,위탁,강원특별자치도 인제군 북면 금강로 221,강원특별자치도 인제군 북면 월학리 1235-3,38.13766188,128.212133,881.86,2005-08,7,파지+PET+PP+PE+PS+캔+고철+잡병+공병,환경에너지솔루션,033-463-8906,이용현,09:00,18:00,00:00,00:00,토요일+일요일+공휴일,,,033-460-2064,강원특별자치도 인제군청,2024-12-13,4331000,강원특별자치도 인제군
오산시 자원재활용센터,직영,경기도 오산시 오산천로 3-35,경기도 오산시 누읍동 196-4,37.13313732,127.0586926,10645,2005-12,15,생활쓰레기+재활용품 등,경기도 오산시청,031-8036-6456,이권재,05:00,18:00,05:00,13:00,일요일,,,031-8036-6456,경기도 오산시청,2025-07-03,4000000,경기도 오산시
상주시 재활용품선별장,직영,경상북도 상주시 영남제일로 1408-51,,36.42394039,128.1907151,991.57,2014-12,2,가정용 스티로폼+플라스틱+PET+파병+고철,경상북도 상주시청,,,09:00,16:00,09:00,16:00,일+국가공휴일,,,054-537-7363,경상북도 상주시청 환경관리과,2025-06-20,5110000,경상북도 상주시
성주군 재활용선별시설,직영,경상북도 성주군 성주읍 삼산1길 266-3,경상북도 성주군 성주읍 삼산리 509,35.9255928283,128.3102771745,2277.57,2018-04,3,"플라스틱류, 고철류 등",성주군 자원순환사업소,054-930-6197,배재억,08:00,16:30,00:00,00:00,일요일+공휴일,,,054-930-6197,성주군 자원순환사업소,2025-06-20,5210000,경상북도 성주군
철원군 재활용센터,직영,강원도 철원군 철원읍 독서당길 305,강원도 철원군 철원읍 율이리 500,38.22414087,127.1695236,1273.68,2007-08,1,파지+우유팩+소주병+맥주병+백색병+갈색병+청색병+고철+철캔+스프링류+잡선+양은류+알루미늄캔+스덴+신주류+PET+PE+PP+PS+감용스티로폼+비료포대,강원도 철원군청,033-450-5572,환경자원사업소장,09:00,18:00,00:00,00:00,,,www.cwg.go.kr,033-450-5572,강원도 철원군청,2022-11-23,4301000,강원특별자치도 철원군
도봉구재활용센터,직영,서울특별시 도봉구 마들로13길 218,서울특별시 도봉구 창동 181-39,37.659920,127.045390,1594,2001-05,3,"가전, 가구 등",도봉구재활용센터,02-902-8272,최재호,09:00,19:30,10:00,18:30,"일요일 휴무, 자세한 내용은 센터에 문의",,,02-901-5057,서울특별시 도봉구시설관리공단,2018-05-15,3090000,서울특별시 도봉구
해남군 재활용품 선별시설,직영,전라남도 해남군 해남읍 호교길 73-265,전라남도 해남군 해남읍 복평리 891,34.56720876,126.5376835,1044.01,2024-01,3,재활용품 선별,전라남도 해남군청,061-530-5339,명현관,09:00,18:00,09:00,18:00,설 연휴+추석 연휴,,www.haenam.go.kr,061-530-5339,전라남도 해남군청,2025-11-21,5870000,전남광주통합특별시 해남군
영암군 공공재활용선별시설,직영,전라남도 영암군 군서면 녹색환경길 374,전라남도 영암군 군서면 도장리 1094,34.80677839,126.6100995,1209,2009-10,1,고지+고철+소각고철+철캔+알루미늄캔+PET+PE+PP+PS+플라스틱+공병+잡병+스티로폼(인고트),전라남도 영암군청,061-470-2437,영암군수(우승희),08:00,17:00,00:00,00:00,매주 토요일+일요일+공휴일,,,061-470-2169,전라남도 영암군청,2025-11-01,5875000,전남광주통합특별시 영암군
원주시 중고가전가구재활용센터(2호점),위탁,강원특별자치도 원주시 원일로 214(학성동),강원특별자치도 원주시 학성동 430-8,37.3557821,127.9444831,330,2022-07,1,중고가구가전제품,원주시 중고가전가구재활용센터(2호점),033-743-0119,원덕자,09:00,18:30,00:00,00:00,일+공휴일,,wjrecycle.com,033-737-3091,강원특별자치도 원주시청,2025-11-25,4191000,강원특별자치도 원주시
원주시 중고가전가구재활용센터(1호점),위탁,강원특별자치도 원주시 치악로 1601-6(단구동),강원특별자치도 원주시 단구동 724-22,37.32612272,127.9599504,495,2022-07,2,중고가구가전제품,원주시 중고가전가구재활용센터(1호점),033-735-7388,원덕자,09:00,18:30,00:00,00:00,일+공휴일,,wjrecycle.com,033-737-3091,강원특별자치도 원주시청,2025-11-25,4191000,강원특별자치도 원주시
김포시재활용수집소,위탁,경기도 김포시 금포로1119,경기도 김포시 걸포동 1-3,37.64624046,126.7056753,1912.92,2005-08,14,"종이류(신문, 파지, 우유팩) 외 11종",김포도시관리공사,031-985-2969,이형록,08:00,17:00,00:00,00:00,매주 일+공휴일,,http://www.gp.or.kr,031-980-2776,경기도 김포시청,2025-11-24,4090000,경기도 김포시
관악구 재활용센터(알뜰나라),위탁,서울특별시 관악구 신림로 202,서울특별시 관악구 신림동 96-48,37.47542075,126.9372603,261.52,2022-12,1,가전제품+가구,알뜰나라,02-877-1140,김태훈,10:00,21:00,10:00,18:00,명절연휴+일요일,소형가전 1개월+대형가전 3개월,,02-879-6226,서울특별시 관악구청,2025-11-17,3200000,서울특별시 관악구
수성구 생활자원회수센터,위탁,대구광역시 수성구 청호로 10,대구광역시 수성구 범물동 105-7,35.82020842,128.6491827,2788,2018-12,4,플라스틱+비닐+스티로폼+병+종이+고철,(주)유창알앤씨,053-782-5900,성기원,08:00,17:00,08:00,17:00,일+설 연휴+추석 연휴+근로자의날,,,053-666-2723,대구광역시 수성구청,2025-12-01,3460000,대구광역시 수성구
정읍시 재활용선별장,직영,전북특별자치도 정읍시 영파길 169,전북특별자치도 정읍시 영파동 399-1,35.61423844,126.8549416,1047,2005-12,3,플라스틱+스티로폼+병+종이+고철+비고철+장판,전북특별자치도 정읍시청,063-539-8173,이학수,09:00,18:00,09:00,13:00,일+설 연휴+추석 연휴+근로자의 날,,,063-539-8173,전북특별자치도 정읍시청,2025-12-01,4691000,전북특별자치도 정읍시
강경읍재활용센터,직영,충청남도 논산시 강경읍 옥녀봉로 66,충청남도 논산시 강경읍 홍교리 32-1,36.163983,127.015155,91,2025-12,0,의류+파지(신문) 등,강경읍사무소,041-745-3009,,09:00,18:00,00:00,00:00,토+일+공휴일,,,041-746-8523,충청남도 논산시 강경읍사무소,2025-12-01,4540000,충청남도 논산시
연무읍재활용센터,직영,충청남도 논산시 연무읍 안심로 50,충청남도 논산시 연무읍 마산리 700-1,36.125122,127.099030,108,1997-12,0,고철+의류+파지(신문) 등,연무읍사무소,041-746-8568,,09:00,18:00,00:00,00:00,토+일+공휴일,,,041-746-8545,충청남도 논산시 연무읍사무소,2025-12-01,4540000,충청남도 논산시
송파구재활용센터,위탁,서울특별시 송파구 문정로246 (마천동),서울특별시 송파구 마천동 27,37.4999099,127.1420313,743.47,2021-08,3,가전제품+가구 등,새마을운동송파구지회,02-400-9333,이승현,09:00,18:00,09:00,15:00,일+공휴일,판매일로부터 3개월 무상 수리,https://cafe.naver.com/reandup,02-2147-6373,서울특별시 송파구청,2024-08-12,3230000,서울특별시 송파구
보은군 생활자원순환센터,직영,충청북도 보은군 보은읍 산척길 209-51,충청북도 보은군 보은읍 용암리 산37,36.487394,127.6739234,1100,2003-10,2,재활용품 선별,충청북도 보은군,043-540-3262,최재형,09:00,18:00,00:00,00:00,공휴일,,http://www.boeun.go.kr/,043-540-3262,충청북도 보은군,2024-08-05,4420000,충청북도 보은군
곡성군 재활용품 선별장,직영,전라남도 곡성군 곡성읍 대평뜰3길 148,,35.28181261,127.3252385,2066,2001-01,2,플라스틱병+캔류,전라남도 곡성군청,061-360-8521,,09:00,18:00,09:00,14:00,일요일,,,061-360-8522,전라남도 곡성군청,2024-07-23,5835000,전남광주통합특별시 곡성군
의왕시재활용센터,위탁,경기도 의왕시 가나무로 20,경기도 의왕시 이동 478,37.33777051,126.9642594,12653,2017-01,2,생활쓰레기+재활용품+음식물 등,환경에너지솔루션㈜,031-462-7895,이상헌,08:00,17:00,00:00,00:00,일요일+공휴일,,,031-345-2862,경기도 의왕시청,2025-11-07,4030000,경기도 의왕시
영양군환경자원센터,직영,경상북도 영양군 영양읍 석영로 1093-81,경상북도 영양군 영양읍 전곡리 306,36.63065342,129.1277045,735,2023-01,0,폐골판지+고철류+비철+금속캔+유리병+장판+잉고트+하이샤시+투명PET+PE+PP+PET,경상북도 영양군청,054-680-6532,오도창,09:00,17:00,00:00,00:00,토요일(11:00이후)+일요일+공휴일,,,054-680-6531,경상북도 영양군청,2025-11-10,5170000,경상북도 영양군
동아재활용센터,위탁,부산광역시 남구 동명로115-1(용호동),부산광역시 남구 용호동 413-13,35.12021396,129.1097956,40,2020-12,1,가전제품,동아재활용센터,051-626-1713,,09:00,20:00,09:00,20:00,일요일,,,051-607-4451,부산광역시 남구청,2025-11-07,3310000,부산광역시 남구
보람재활용센타,위탁,울산광역시 남구 돋질로 136,울산광역시 남구 달동 616-11,35.5399033,129.3206335,23,2024-12,2,가전+가구,보람재활용센타,052-292-4982,김평석,09:00,19:00,09:00,19:00,일,,http://울산중고가전.kr,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
남구재활용센터,위탁,울산광역시 남구 산업로 679-1,울산광역시 남구 삼산동 194-4,35.54177297,129.353249,100,2024-12,1,가전+가구+식당비품,남구재활용센터,052-258-8272,김예찬,09:00,19:00,09:00,19:00,격주 토+일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
나눔 중고 알뜰매장,위탁,울산광역시 남구 수암로 193,울산광역시 남구 야음동 671-1,35.526987,129.3281284,180,2024-12,1,가전+가구,나눔 중고 알뜰매장,052-227-8946,유경숙,09:00,18:00,09:00,18:00,일,6개월 이내 무상수리,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
국민 재활용,위탁,울산광역시 남구 수암로 271,울산광역시 남구 야음동 385-29,35.52243771,129.3347502,150,2024-12,1,가전+가구,국민 재활용,052-261-7262,박윤심,09:00,18:30,09:00,18:30,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
울산 재활용,위탁,울산광역시 남구 수암로 310,울산광역시 남구 야음동 368-4,35.52030088,129.3378032,100,1999-12,1,가전+가구,울산 재활용,052-260-2114,방현도,09:00,18:00,09:00,18:00,연중무휴,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
광장재활용센터,위탁,울산광역시 남구 산업로 693,울산광역시 남구 삼산동 147-9,35.54265753,129.354117,100,2024-12,1,가전+가구,광장재활용센터,052-256-1900,김수연,09:00,20:00,00:00,00:00,일+공휴일,6개월 이내 무상수리,www.gwangjang.co.kr,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
이안재활용마트,위탁,울산광역시 남구 삼산로 98,울산광역시 남구 달동 915-2,35.53474255,129.3184596,230,2024-12,1,가전+식당비품,이안재활용마트,052-256-4986,주혜정,07:00,18:00,07:00,18:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
울산 중고 프라자,위탁,울산광역시 남구 돋질로 121,울산광역시 남구 신정동 170-12,35.54000407,129.3189429,300,2024-12,2,가전+가구,울산 중고 프라자,052-256-1232,심영미,09:00,18:00,09:00,18:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
부일전자,위탁,울산광역시 남구 신정로 116번길 14,울산광역시 남구 신정동 152-4,35.5422021,129.3209531,15,2024-12,1,가전,부일전자,052-211-4380,이칠학,09:00,17:00,00:00,00:00,일+공휴일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
북부 재활용 센터,위탁,울산광역시 남구 수암로 62,울산광역시 남구 신정동 804-10,35.53045106,129.3146731,210,2024-12,1,가전,북부 재활용 센터,052-260-5985,김승민,09:00,19:00,09:00,19:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
열린 재활용,위탁,울산광역시 남구 돋질로 109,울산광역시 남구 신정동 590-11,35.53954689,129.3174867,749,2024-12,2,가전+가구,열린 재활용,052-272-3003,이상옥,09:00,18:00,09:00,18:00,일,,,052-226-4822,울산광역시 남구청,2025-11-13,3700000,울산광역시 남구
서구재활용센터,위탁,부산광역시 서구 충무대로 120(암남동),부산광역시 서구 암남동 95-30,35.0810401,129.024756,184,1996-12,1,가구+가전,서구재활용센터,051-247-8777,배창호,09:00,18:00,09:00,18:00,,,,051-240-4451,부산광역시 서구청,2025-11-13,3260000,부산광역시 서구
동두천시 재활용선별장,직영,경기도 동두천시 강변로 872,경기도 동두천시 동두천동 432-1,37.94229789,127.0563814,7887,2005-12,3,종이+유리병+비닐+고철 등,경기도 동두천시청,031-860-2252,박형덕,09:00,18:00,00:00,00:00,토+일+공휴일,,,031-860-2252,경기도 동두천시청 환경보호과,2025-11-04,3920000,경기도 동두천시
옥천군 생활자원회수센터,직영,충청북도 옥천군 군북면 이평1길 199,충청북도 옥천군 군북면 추소리 1,36.34698788,127.5781691,1331,2019-12,3,세탁기+냉장고+고철 등,충청북도 옥천군청,043-730-3457,,09:00,18:00,00:00,00:00,,,,043-730-3457,충청북도 옥천군청,2025-11-17,4430000,충청북도 옥천군
청주시재활용센터,위탁,충청북도 청주시 청원구 내수로 28(주성동),충청북도 청주시 청원구 주성동 297-19,36.68256185,127.4990738,594,2020-09,3,중고가구+가전+기타잡화,㈜청주재활용센터,043-285-7289,박흥규,08:30,17:30,00:00,00:00,일요일+공휴일(토요일운영_08:30~15:00),,https://www.cj-rcmarket.co.kr,043-201-4675,충청북도 청주시청,2025-11-12,5710000,충청북도 청주시
은평구 재활용센터,위탁,서울특별시 은평구 수색로24길 16,서울특별시 은평구 수색동 293-13,37.59131729,126.884255711,497,1995-01,2,"가구류,가전제품",사단법인 한국생활자원 재활용 협회 은평구지회,02-372-8272,김명종,09:00,18:00,00:00,00:00,"명절전일 및 당일 휴무,일요일",구입일로부터 6개월,http://www.eprecycle.kr/,02-372-8272,서울특별시 은평구청,2025-06-26,3110000,서울특별시 은평구
김제시 재활용선별장,직영,전북특별자치도 김제시 봉황공단1길 200,전북특별자치도 김제시 오정동 222,35.77218743,126.919438,9939,2005-03,3,플라스틱류+병류+스티로폼+고철우유팩,전북특별자치도 김제시청 청소자원과,063-540-3173,정성주,08:00,17:00,00:00,00:00,일+공휴일,해당없음,www.gimje.go.kr,063-540-3173,전북특별자치도 김제시청,2025-06-10,4711000,전북특별자치도 김제시
환경자원센터,위탁,강원특별자치도 양양군 양양읍 되넘이길 80,강원특별자치도 양양군 양양읍 화일리 485,38.093757,128.571566,1257,2009-08,3,재활용품 선별,(유)양양자활환경자원센터,033-671-2788,임무경,09:00,18:00,00:00,00:00,토+일+공휴일,,,033-670-2186,강원특별자치도 양양군청,2024-11-26,4351000,강원특별자치도 양양군
용인시 재활용센터(이동),위탁,경기도 용인시 백옥대로 489번길 19-6 (이동읍),경기도 용인시 덕성리 1130-7,37.181318,127.200127,8233,2013-07,1,스티로폼+건전지+폐메트리스,용인도시공사,031-321-3088,신경철,08:00,18:00,08:00,12:00,일요일+공휴일,없음,없음,031-6193-2334,경기도 용인시청,2024-11-19,4050000,경기도 용인시
용인시 재활용센터(고림),위탁,경기도 용인시 처인구 경안천로 288(고림동),경기도 용인시 처인구 고림동 820-155,37.2565592940,127.2198451164,15569,2007-08,3,잡파지+철캔+알루미늄캔+유리병류+플라스틱류,용인도시공사,031-8097-6802,신경철,08:00,18:00,08:00,12:00,일요일+공휴일,없음,없음,031-6193-2334,경기도 용인시청,2024-11-19,4050000,경기도 용인시
완주군생활자원화센터,직영,전북특별자치도 완주군 비봉면 율백로 194-38,전북특별자치도 완주군 비봉면 백도리 419,35.98710823,127.1700744,4561,1997-10,9,재활용품,전북특별자치도 완주군청,063-290-4290,완주군수,09:00,18:00,00:00,00:00,공휴일,해당없음,wanju.go.kr,063-290-4290,전북특별자치도 완주군청,2024-01-29,4721000,전북특별자치도 완주군
종합리싸이클링타운,위탁,전북특별자치도 전주시 완산구 삼산길 51-24,전북특별자치도 전주시 완산구 삼천동3가 749-5,35.79982581,127.0736932,44160,2016-11,0,플라스틱류+고철+캔+유리병+비닐류 등,전주리싸이클링에너지㈜,063-250-8137,박상규,08:00,17:00,08:00,17:00,토(격주)+일+설 연휴+추석 연휴,,,063-281-8452,전북특별자치도 전주시청,2025-02-05,4641000,전북특별자치도 전주시
리싸이클세상,위탁,서울특별시 강남구 논현로 115길 7,서울특별시 강남구 논현동 191-6,37.50883463,127.0325018,781,2008-09,3,가전가구류,(주)리싸이클세상,,,09:00,19:00,09:00,19:00,,,,02-3423-6008,서울특별시 강남구청,2024-05-03,3220000,서울특별시 강남구
강남구재활용센터,위탁,서울특별시 강남구 개포로 247,서울특별시 강남구 개포동 1259-6,37.479138,127.0494793,660,2008-09,4,가전가구류,강남구재활용센터,,,09:00,19:00,09:00,19:00,,,,02-3423-6008,서울특별시 강남구청,2024-05-03,3220000,서울특별시 강남구
영천시 생활자원회수센터,직영,경상북도 영천시 바깥완산길 433 (완산동),경상북도 영천시 완산동 산3-1,35.96461799,128.9694261,940,2022-08,3,PET+플라스틱+고철+유리병+종이 등,경상북도 영천시청,054-330-6174,최기문,09:00,18:00,00:00,00:00,토요일+일요일+공휴일,,,054-330-6174,경상북도 영천시청,2024-10-14,5100000,경상북도 영천시
동구 재활용선별장,직영,,부산광역시 동구 범일동 1642,35.12989024,129.0612769,2300,1995-01,16,스티로폼,동구 재활용선별장,,김진홍,07:00,16:00,07:00,09:00,일요일,,,051-440-4451,부산광역시 동구청,2024-09-25,3270000,부산광역시 동구
부산진구 재활용센터,위탁,부산광역시 부산진구 신천대로 155(부전동),부산광역시 부산진구 부전동 384-65,35.15563315,129.0507411,145,1995-02,0,중고가구+잡화 등,부산광역시 부산진구청,051-805-8272,,09:00,18:00,00:00,00:00,토일+공휴일,,,051-605-4451,부산광역시 부산진구청,2024-07-11,3290000,부산광역시 부산진구
공공재활용 선별장,직영,전라남도 화순군 한천면 덕음로 548,전라남도 화순군 한천면 가암리 산 91,35.02069463,126.9907566,750,2009-01,1,종이+고철+빈병+스티로폼 등,전라남도 화순군청,061-379-3603,구복규,08:00,16:00,00:00,00:00,토요일+공휴일,,,061-379-3603,전라남도 화순군청,2024-08-13,5855000,전남광주통합특별시 화순군
함평군환경관리센터,직영,전라남도 함평군 함평읍 주포로 170-9,전라남도 함평군 함평읍 장년리 581,35.09101753,126.4804107,25368,2000-03,16,생활쓰레기,함평군,061-320-2878,,06:00,17:00,00:00,00:00,공휴일,,,061-320-2878,전라남도 함평군청,2025-10-31,5885000,전남광주통합특별시 함평군
